origen,destino
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,13
0,15
0,16
0,18
0,22
0,28
0,30
0,35
0,49
1,2
1,3
1,4
1,5
1,6
1,8
1,9
1,11
1,12
1,13
1,18
1,19
1,22
1,28
1,36
1,38
1,40
1,43
1,44
1,45
1,48
1,49
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,15
2,16
2,17
2,23
2,24
2,27
2,28
2,31
2,33
2,37
2,39
2,40
2,41
2,44
2,45
2,48
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,15
3,23
3,26
3,29
3,35
3,36
3,38
3,47
4,5
4,6
4,7
4,9
4,10
4,11
4,12
4,13
4,14
4,15
4,17
4,18
4,20
4,23
4,24
4,25
4,30
4,31
4,34
4,37
4,40
4,41
4,44
4,46
4,48
5,6
5,7
5,8
5,10
5,13
5,15
5,17
5,20
5,25
5,31
5,40
5,45
5,47
6,7
6,8
6,10
6,11
6,12
6,14
6,15
6,16
6,17
6,18
6,20
6,21
6,22
6,26
6,27
6,28
6,29
6,30
6,32
6,35
6,37
6,38
6,42
6,43
6,45
6,46
7,9
7,12
7,13
7,14
7,16
7,27
7,31
7,37
7,39
8,12
8,13
8,14
8,16
8,17
8,19
8,20
8,21
8,26
8,27
8,28
8,33
8,34
9,10
9,12
9,21
9,23
9,27
9,29
9,33
9,34
9,37
9,46
9,48
10,11
10,28
10,35
11,14
11,19
11,26
11,31
11,36
11,38
11,40
12,16
12,17
12,18
12,19
12,24
12,29
12,32
12,33
12,39
13,14
13,19
13,21
13,27
13,32
13,37
13,40
13,47
14,20
14,24
14,25
14,26
14,32
14,39
14,44
14,46
14,48
14,49
14,100
14,124
14,142
14,143
15,18
15,74
15,75
15,86
15,91
16,19
16,21
16,23
16,31
16,35
16,36
16,46
16,50
16,57
16,58
16,59
16,62
16,71
16,76
16,80
16,83
17,20
17,22
17,24
17,33
17,38
17,44
18,42
18,44
18,296
19,25
19,26
19,33
20,21
20,22
20,25
20,30
20,42
21,22
21,23
21,29
21,43
22,34
22,42
22,45
23,24
23,34
23,36
23,39
23,41
24,25
24,30
24,47
24,48
24,49
25,45
25,46
26,41
26,43
27,30
27,32
27,34
27,42
27,43
27,49
28,29
28,32
28,36
29,35
29,38
29,47
30,42
33,41
34,49
36,39
36,41
36,200
37,43
45,47
50,51
50,52
50,53
50,54
50,55
50,56
50,57
50,59
50,60
50,65
50,66
50,68
50,72
50,74
50,76
50,81
50,88
50,96
50,98
51,52
51,53
51,54
51,55
51,56
51,59
51,60
51,61
51,63
51,67
51,68
51,70
51,71
51,75
51,77
51,83
51,89
51,91
51,92
51,94
51,222
52,53
52,54
52,55
52,56
52,58
52,59
52,61
52,62
52,69
52,73
52,74
52,82
52,85
52,88
52,94
53,54
53,55
53,56
53,57
53,58
53,59
53,62
53,64
53,65
53,67
53,69
53,72
53,73
53,74
53,75
53,79
53,99
54,55
54,56
54,57
54,63
54,64
54,66
54,73
54,75
54,78
54,83
54,91
54,93
54,97
55,56
55,57
55,58
55,60
55,62
55,64
55,65
55,70
55,73
55,77
55,79
55,84
55,85
55,86
55,87
55,90
56,57
56,58
56,59
56,60
56,61
56,62
56,63
56,64
56,67
56,68
56,73
56,85
56,87
57,58
57,60
57,61
57,68
57,69
57,76
57,79
57,81
57,84
57,93
57,94
57,99
58,61
58,65
58,66
58,69
58,72
58,80
58,81
58,89
58,90
58,91
58,92
58,93
58,96
58,98
59,60
59,62
59,63
59,64
59,65
59,66
59,70
59,73
59,78
59,80
59,88
60,61
60,68
60,74
60,78
60,82
60,83
60,87
61,63
61,69
61,71
61,75
61,79
61,81
61,95
62,63
62,65
62,66
62,67
62,68
62,69
62,71
62,74
62,77
62,84
62,85
62,86
62,88
62,93
62,95
62,98
63,64
63,67
63,70
63,71
63,72
63,78
63,96
63,97
64,76
64,81
64,85
64,86
64,92
64,97
65,66
65,67
65,71
65,80
65,85
65,90
65,91
65,94
65,99
66,78
66,79
66,84
66,88
66,95
67,70
67,76
67,92
67,95
67,148
67,150
67,158
67,160
67,163
67,172
67,184
67,189
68,80
68,81
68,82
68,83
68,87
68,96
69,70
69,74
69,77
69,82
69,90
70,72
70,77
70,82
70,84
70,93
70,95
70,99
71,72
71,75
71,78
71,82
71,91
72,94
72,97
72,98
72,99
73,89
74,76
74,77
74,79
74,89
74,96
77,84
77,97
77,185
78,80
80,83
80,87
80,90
80,95
81,86
81,99
82,88
83,86
83,87
83,89
83,90
83,92
84,92
85,98
86,89
87,93
87,96
87,97
89,111
89,138
90,94
93,98
100,101
100,102
100,103
100,104
100,105
100,106
100,107
100,108
100,109
100,110
100,111
100,113
100,114
100,115
100,116
100,117
100,119
100,121
100,122
100,123
100,129
100,130
100,131
100,133
100,137
100,138
100,139
100,148
100,149
101,102
101,103
101,104
101,105
101,106
101,108
101,109
101,111
101,126
101,143
102,103
102,104
102,105
102,106
102,107
102,108
102,109
102,110
102,112
102,114
102,115
102,119
102,120
102,121
102,128
102,139
102,142
102,143
103,104
103,105
103,106
103,107
103,108
103,109
103,110
103,112
103,113
103,116
103,119
103,120
103,121
103,122
103,123
103,129
103,132
103,133
103,135
103,136
103,138
103,139
103,144
103,145
103,146
103,148
103,149
104,105
104,106
104,107
104,109
104,110
104,111
104,113
104,114
104,116
104,117
104,120
104,123
104,124
104,125
104,128
104,135
104,136
104,137
104,138
104,141
104,142
104,146
105,106
105,107
105,108
105,110
105,112
105,114
105,122
105,125
105,128
105,131
105,132
105,134
105,138
105,144
105,149
106,107
106,112
106,113
106,118
106,121
106,122
106,134
106,137
106,142
106,149
107,108
107,109
107,110
107,112
107,113
107,119
107,122
107,124
107,126
107,127
107,128
107,139
107,144
107,147
108,111
108,126
108,127
109,111
109,115
109,117
109,120
109,121
109,124
109,126
109,129
109,134
109,135
109,136
109,139
109,141
109,144
109,145
109,146
110,111
110,112
110,119
110,120
110,127
110,128
111,114
111,115
111,116
111,118
111,123
111,125
111,131
111,141
111,142
111,145
111,146
111,149
112,113
112,114
112,115
112,117
112,118
112,126
112,129
112,130
112,131
112,132
112,136
112,140
112,142
112,145
112,146
112,149
113,115
113,116
113,117
113,132
114,118
114,144
115,116
115,117
115,118
115,119
115,123
115,125
115,128
115,130
115,132
115,137
115,140
117,118
117,120
117,122
117,123
117,124
117,127
117,129
117,133
117,134
117,148
118,124
118,132
118,133
118,134
119,121
119,134
120,125
120,131
120,140
120,145
120,147
121,130
121,133
121,137
121,147
122,127
122,129
122,130
122,140
122,141
123,125
123,127
123,131
123,136
123,141
124,130
124,144
125,126
125,136
126,135
126,137
126,138
127,133
127,141
127,143
127,146
129,135
132,147
133,148
134,135
134,143
135,139
135,148
136,145
137,140
138,147
139,140
139,143
142,147
142,148
142,250
142,260
150,151
150,152
150,153
150,154
150,155
150,156
150,157
150,162
150,164
150,168
150,170
150,174
150,176
150,179
150,190
150,193
151,152
151,153
151,154
151,155
